ids,name,subscriberCount,viewCount,videoCount,description,creation,country,thumbnail,idPlaylist
UC1BOk4FPwe8tAeP0Jh03Swg,Kishi,168,318,9,"Salut à toutes et à tous, comment ça va ?

Je me nomme Kishi Shoku, ancien membre de la team Chaos Revolution

La chaîne principale est dédié au mmorpg Elsword et Blade And Soul pour l'instant

Néanmoins il ne sera pas impossible de voir un jour des vidéos sur d'autres jeux ( de type mmo ou manga )

Disons que cette chaîne est aussi dédié à ma passion du gaming ( mouais après j'y joue tout les 39 du mois donc t'attends pas à grand chose non plu xd )

Fin bref c'est tout mes ptis démons adorés

On se retrouve en vidéos pour la suite de mes aventures tchuss",2016-02-14,None,https://yt3.ggpht.com/ytc/AKedOLTPldKkdzINSaXqCwl1NOboo2Q-bvD_agqurv1nfA=s88-c-k-c0x00ffffff-no-rj,UU1BOk4FPwe8tAeP0Jh03Swg
UClkHAmIbUFCHqU201HcVELw,Myceliose,14,149,5,,2019-07-26,FR,https://yt3.ggpht.com/ytc/AKedOLSRwYTYhWniMHXgYdDpjErE2QkkZFeMbMTW2vZQ=s88-c-k-c0x00ffffff-no-rj,UUlkHAmIbUFCHqU201HcVELw
UCbFanLNoT89zr9WebQap-gQ,MiyunaTV,1640,21781,18,"Bienvenue sur ma chaîne Youtube ! Moi c'est Miyuna, je suis une vtubeuse FR kitsune (renard) waifu 3D. Sur cette chaîne tu retrouveras des best-of de mes meilleurs moments de streams, des tutos sur différents jeux et même des MMD de mon avatar 3D 😁
D'ailleurs n'hésite pas à venir me voir quand je suis en live ça me ferait super plaisir :3",2020-05-12,FR,https://yt3.ggpht.com/ZOcFLb-Pk_QYJULbNInSC-RHVMYF10XQCgTsMDwIL9hPPAeQEYXdOg924dvLhNR3meG-BgfI=s88-c-k-c0x00ffffff-no-rj,UUbFanLNoT89zr9WebQap-gQ
UCTX9BiC68fjhqIgtfGTRxSg,Brams225,92,214,1,"Virtual Streameur Multigaming depuis 2 ans sur Twitch Contact pro: brams225pro@gmail.com 225eme GUEULARD Force et Honneur !
""L'Histoire me sera indulgente, car j'ai l'intention de l'écrire.""


",2016-08-04,FR,https://yt3.ggpht.com/ytc/AKedOLRe-vssyHThzmYIqGYBZFN1bGs-BqjLLDZk5D1OPg=s88-c-k-c0x00ffffff-no-rj,UUTX9BiC68fjhqIgtfGTRxSg
UClitTXIDdlhx_o1n5cHn1Kw,Atsuki,861,7334,12,"Bonjour sur cette petite chaîne vous y retrouverez surement des rediffusions de stream qui sont sur ma chaîne Twitch.
Je vous souhaite un bon visionnage c:
",2017-11-25,FR,https://yt3.ggpht.com/dI9hQPPGyMDiL_gdK6oN3hdjD5vv0ss8YclP2xYRVk6no4QQrlpI7ikza1VCM6qQHGqsAh2T2Qk=s88-c-k-c0x00ffffff-no-rj,UUlitTXIDdlhx_o1n5cHn1Kw
UC90a89dqUNi1coAF_8dmdCw,Ayuumiko,194,1677,13,,2021-07-09,None,https://yt3.ggpht.com/UDX0pSws5TDRSXDYSkE7qvw73q7gvhkrOCzzydmhq8pCTUeZxdcY4TFcE4cVtdKor-ZE8Mpq-w=s88-c-k-c0x00ffffff-no-rj,UU90a89dqUNi1coAF_8dmdCw
UCpTGWaf5-NXDSRes2Wba68A,Eli,141,2628,12,,2016-07-24,FR,https://yt3.ggpht.com/ytc/AKedOLSz14vYvtMu1QZJEShLEwlfYhKTEvAhThf8KXns4w=s88-c-k-c0x00ffffff-no-rj,UUpTGWaf5-NXDSRes2Wba68A
UCuw6_cb0jqHie6LWIvFfvCA,Patoune,24,0,0,La chaîne de Best of des streams de Patoune,2018-09-20,FR,https://yt3.ggpht.com/ZvDP21-_8P03tohpXRkqD0MWMpCrAY4J38n_RYTLDmh0qv4_RzWQ80tILI7HtXo_z_-Lx0t52Q=s88-c-k-c0x00ffffff-no-rj,UUuw6_cb0jqHie6LWIvFfvCA
UCwtjuA3iXXaHcSlIv5M3tWw,Ina,72,1872,174,"Salut tout le monde ! Je suis Ina, la seule et l'unique ! Originaire d'un autre monde, je me suis engouffrée dans une faille entre les univers pour débarquer ici et m'amuser avec vous !

Sub-goal :
100 folower = ouverture du serveur discord.
",2020-10-19,FR,https://yt3.ggpht.com/tdBiZAj8H4J11jUDmietk8FNuLHsi0efiTR2zuEeN5-oYutLAy3dwHOBPCJb5XOv3v_pLoqGJw=s88-c-k-c0x00ffffff-no-rj,UUwtjuA3iXXaHcSlIv5M3tWw
UC1vZAbQmLD_A2w9SZMqxZfg,EliseAnko,29,2207,53,"Hi, i'm a french illustrator, i'm not the best but i try ! I want to improve my self and show you what i'm doing. 
You can find me here : https://www.facebook.com/AnkosWorld
and here : http://eliseanko.blogspot.fr/ 

Share and comment if you like ^^ 
Thank you !",2017-06-14,FR,https://yt3.ggpht.com/ytc/AKedOLQ7vNEHkeuBIRWelphcLEzIB08bKkyZM0T9Bm-N=s88-c-k-c0x00ffffff-no-rj,UU1vZAbQmLD_A2w9SZMqxZfg
UCrnLTpmupnjHnK16JWkhRAw,Kimiz,1130,42591,22,,2019-10-19,None,https://yt3.ggpht.com/ytc/AKedOLT1Hp0kk0ElwZX-2ZC7h4MiMHb8pwelJ80sU-3Gow=s88-c-k-c0x00ffffff-no-rj,UUrnLTpmupnjHnK16JWkhRAw
UCQQd2x8UpBVnHCNUH6eGt1g,Neya,76,1235,12,"⭐ Salut salut, c'est Neya! ⭐

VTubeuse Française // FRVtuber
",2020-08-06,FR,https://yt3.ggpht.com/ytc/AKedOLSZY4ngZsEWJFgqrQtzHweffuwEQIwE9ckQYgSb6g=s88-c-k-c0x00ffffff-no-rj,UUQQd2x8UpBVnHCNUH6eGt1g
UCAG9QOShh1J1-WgHqkNZGMg,Aisu,133,3014,22,"Bonjour tout le monde !

Je m'appelle Aisu Uchibi et je suis un Vtuber FR mi-humain mi-cafard.
Je propose du contenu en Français avec des sous-titres anglais, je me tourne vers des vidéos sur la 3D.
J'espère que vous apprécierai ma chaine et mon contenu que je poste sur un rythme très chaotique.
X)


Hello everyone,

My name is Aisu Uchibi and a half-human half-cockroach FR Vtuber.
I offer french content with english subtitles, I'm changing my content into 3D videos.
I hope you will apreciate my channel and my content, I post videos in a chaotic way.


model made by kitsune katsumi, go check her, she's amazing !!
Clothes made by Ponoki Chan, go check her, she's also amazing !!
",2019-03-16,FR,https://yt3.ggpht.com/ytc/AKedOLTjpj4PMFyUJ2L8H77i8lKNs7oksT7vRW-7IVhrjA=s88-c-k-c0x00ffffff-no-rj,UUAG9QOShh1J1-WgHqkNZGMg
UCCmMokLReRR_ZCLJ2j0LjBg,Lilloune,22,222,3,🌸~Annyeong~🌸⛩️Vtubeuse FR Princesse Démone ⛩️💖Viens rejoindre le Royaume des Fleurs de Cerisier !!!💖,2019-03-12,FR,https://yt3.ggpht.com/ytc/AKedOLSSEMJF-qBclnPX0j912L9MBVLxuabAMBGwPU_RWA=s88-c-k-c0x00ffffff-no-rj,UUCmMokLReRR_ZCLJ2j0LjBg
UCBieMgEzPoyIXB9X51Fm6hA,Azekia,55,789,3,"Hellow (´・ω・)っ▀̿̿
Je m'appelle Azekia, et je serai votre petit renard au cours de cette aventure ! J'ai quitté ma tanière afin d'explorer le monde et vivre des aventures comme vous, les humains !
Passons un bon moment tous ensemble !
",2021-01-24,FR,https://yt3.ggpht.com/ytc/AKedOLQbdIRF6ohTqYfeUxH5VVJ2g2OJQdksxeWkDGX-=s88-c-k-c0x00ffffff-no-rj,UUBieMgEzPoyIXB9X51Fm6hA
UCutIV_H7m3YMLFdXuJnaB_w,Sae,589,10951,2,"🇫🇷 Bonjour, je m'appelle Sae ! ★
Je suis une petite fée virtuelle, mais aussi une Vtubeuse spécialisée dans le folklore et l'écologie ! 
J'adore dessiner, chanter, me rater sur des jeux de rythme et m'occuper de mes vers de terre...
~~
🇬🇧 Hello my name is Sae ! ★
I'm a little virtual fairy, but also a vtuber fond of folklore and ecology ! 
I love to draw, sing, being bad at rythme games and look after my composting worms...

~~~~
N'hésitez pas à me rejoindre sur les réseaux sociaux !

-- Page Twitter :
https://twitter.com/saevtuber
-- Chaîne Twitch :
https://www.twitch.tv/vtubersae
-- Discord communautaire :
https://discord.gg/C93mtcG",2020-08-10,FR,https://yt3.ggpht.com/ytc/AKedOLSel4a0HIiAh0_7NVR3v9J_XwbIQ2_LDmKaeqM3=s88-c-k-c0x00ffffff-no-rj,UUutIV_H7m3YMLFdXuJnaB_w
UCjWNJAgl0ctB5qfjsh2q05w,Deat's,3900,304556,35,I'm a Virtual Youtuber apparently. I make dumb videos.,2018-02-17,None,https://yt3.ggpht.com/ytc/AKedOLRrFZEAaC4sm-R1ohqtL-WcUG8N3DrHgsRYQANw=s88-c-k-c0x00ffffff-no-rj,UUjWNJAgl0ctB5qfjsh2q05w
UCFguLubAi3bD_SBoXvgNLDQ,Negius,110,762,8,"Bienvenue dans mon bar virtuelle
Oni VStreamer/Vtuber de 24 ans qui joue pour le fun
Cette chaîne accueille les VOD de mes lives sur Twitch, des vidéos montés et du dessins.
N'hésitez pas à venir me voir en live.",2019-11-26,FR,https://yt3.ggpht.com/ytc/AKedOLQphpVN3NH6Ap7vKORZN8EeMMGhotE1idyO7EnRpg=s88-c-k-c0x00ffffff-no-rj,UUFguLubAi3bD_SBoXvgNLDQ
UCqCTqBT7Rmd4xAnoEhuCxNA,Entari,49,268,6,"Bonjour, je suis l'Esprit de la Forêt !

Un être ancestrale qui a vu grandir les humains et qui s'entour des petits esprits tel que vous. 

Venez rejoindre ma bande ! Je suis certes un grand esprit, mais j'aime jouer à tout plein de jeu... 

Le mot d'ordre est la bonne ambiance !",2012-03-09,None,https://yt3.ggpht.com/ytc/AKedOLTiwUlZyk3qg8-AyeGXtG6saL0X8zG87RQp8spT4Q=s88-c-k-c0x00ffffff-no-rj,UUqCTqBT7Rmd4xAnoEhuCxNA
UCJMM2B0NT6vX7TO54RDUE3g,Nano,20,169,15,"Bienvenue sur la chaine  Youtube (VOD) de l'ennui.
Ici on retrouvera surtout des rediffusions de live de l'ennui que l'on peut voir en direct sur ma chaine Twitch (https://www.twitch.tv/nan0w0rld).

Je suis Nano, VTUBER et VSTREAMER.

Bon ennui a vous.",2020-06-25,FR,https://yt3.ggpht.com/0NuP73yyJDLkR0zBW296NUkWc8Xj2AWtwE2ut-iWb3U04aOIzeZYTAvESUKyREeOlB0eVMLL=s88-c-k-c0x00ffffff-no-rj,UUJMM2B0NT6vX7TO54RDUE3g
UCFaP9dJDmqcYmS21DqJgO0A,Nixsper,36,185,17,"French Vtuber, bisous, baguette",2011-07-15,FR,https://yt3.ggpht.com/aotN1xWT2gCaFQY5Xg6fEZpRtIVdGBL-ZbkoWTOSq8Wnwaj_4_RS45OUjDEDookqCo8toqoeAQ=s88-c-k-c0x00ffffff-no-rj,UUFaP9dJDmqcYmS21DqJgO0A
UCf0x6jHVcZV5HXoGA0aVmvQ,Waterlilea,89,0,0,"French (english speaking) Twitch Virtual Streamer. We play a variety of story-driven and indie games, feel free to join us!",2020-07-06,FR,https://yt3.ggpht.com/ytc/AKedOLTFdQn5uR7p029iqEb85ygQz5qqpTEEHzfGV6gB=s88-c-k-c0x00ffffff-no-rj,UUf0x6jHVcZV5HXoGA0aVmvQ
UCCx_P-Qm-KEvgoM-3pTbv_g,Alfragor,631,116128,275,"Yo les gens moi je suis Alfragor nouveaux dans le milieux, je débarque de nulle part pour me lancé sur Youtube et Twitch parce que.......

J'en est envie, j'aime bien la déconne, Pokemon, League Of Legend et les cookies.
Si t'a pas peur de devenir fous chez moi hésite pas à me rejoindre, n'est pas peur on s'amuse bien ici",2015-05-18,FR,https://yt3.ggpht.com/O1ksLZFAtJ8EGnXx16dYq_45LfRJI0GDEi3i3RhJ7PFcLgAaBrhJn05g0L7Rz9Mgvuor3H7VnQ=s88-c-k-c0x00ffffff-no-rj,UUCx_P-Qm-KEvgoM-3pTbv_g
UCMDzOuBszEjNub73uHgiVVw,Selph1ne,12500,1362341,444,"Planning de Streaming : https://vtuber-fr.wixsite.com/novel/planning

VTuber FR / EN
Vidéos traduce in English too !
Compilation humoristique Française sur diverse Jeux (souvent aux graphismes manga et liés à la culture japonaise) !
Que ce soit Indépendant, MMO ou autres, vous trouverez sûrement un petit peu de réconfort ici !",2011-05-04,FR,https://yt3.ggpht.com/ytc/AKedOLTP29VeaAGFXckuY9cvZig5AeGWX-7UH1HU9P0s9Q=s88-c-k-c0x00ffffff-no-rj,UUMDzOuBszEjNub73uHgiVVw
UCigUy6fLCAhCGZEXxV6-BMQ,Riri,2370,12875,62,"NYAWO !!!
Ici Riri, un chat en 2D goût chocolat-vanille !
Je miaule beaucoup et je n'hésiterai pas à me moquer de vous awo, bienvenue dans mon antre !!

Je stream sur Twitch à 18h tout les lundis, mercredis, vendredis et samedis !

Je posterai ici les VOD, des best of et aussi des chansons !!
",2021-05-26,FR,https://yt3.ggpht.com/Xdr2UZo3jCt5BUuoP-akXk2gFfc-b0c5_L028e004cZVTyYe4Y32-COD-g__qFxuMOaT-BRzAg=s88-c-k-c0x00ffffff-no-rj,UUigUy6fLCAhCGZEXxV6-BMQ
UCsEsUf4Y3GqCeWiu9hCgpzg,Ponoki,5870,314546,102,"Hello tout le monde !

Je suis Ponoki, et je suis une Youtubeuse Virtuelle!
Sur cette chaîne je vous propose du 50/50 : 50% Contenus divertissants, informatifs, autre... 50% Tutoriels pour Vtubers !
N'hésitez pas à y jeter un coup d'œil ! ",2017-05-08,FR,https://yt3.ggpht.com/31YGrc-7hl6pkCPwwVTZFyeHqD2QYJGuFW9ixPk19KbkL4dTAV6w6gdJmzzyMiCdrVQ3aNbQ=s88-c-k-c0x00ffffff-no-rj,UUsEsUf4Y3GqCeWiu9hCgpzg
UCGL3lQ9j5vUbW1_GdB7BbeA,Namaiki,7,0,0,"A cursed 3-tails kitsune looking for quests across the Humans world !
One day I'm a gamer and vsinger another day

",2021-02-13,FR,https://yt3.ggpht.com/ytc/AKedOLR-6Rc2yrTh1HQ2qwO-u5LgNFQ0_WflRzwswooU=s88-c-k-c0x00ffffff-no-rj,UUGL3lQ9j5vUbW1_GdB7BbeA
UCpYvwVNr9s72Ilere5zrrvw,Aquakwa,200,2944,24,Heeyyy ! Je suis Aquakwa ! Une Vtuber et Vstreamer ! Je fais souvent des lives sur twitch et je dessine beaucoup ! Entendons nous bien !,2012-12-16,FR,https://yt3.ggpht.com/ytc/AKedOLSY-0m4avv_LZ3Ih02mS28x4cBHcP9_0G7W_-95Eg=s88-c-k-c0x00ffffff-no-rj,UUpYvwVNr9s72Ilere5zrrvw
UCEpu7vKgPgby_tI9uvpBrWQ,Lecorbak,146,23171,294,"Salutations, c'est Lecorbak. 

Je suis VTuber FR, et je fais principalement des jeux vidéo, et des collabs avec d'autres VTubers.
J'aime faire partager les jeux que j'aime avec passion.

Sur ma chaîne, vous retrouverez plein de jeux géniaux tels que Des jeux retro, Genshin Impact, Honkai Impact, Pokémon, Jeux de Rythme, Fire Emblem, Hytale (quand ça sortira) et plein d'autres. 

Je fais pas mal de tier lists et de vidéos d'analyses détaillées des persos de Genshin Impact pour les intéressés.
Je chante aussi parfois pour le lol.
Je fais également des lives régulièrement sur twitch

Abonnez vous et vous pouvez suivre mes actualités sur mon Twitter :
https://twitter.com/lecorbaklevrai

Mon Twitch :
https://www.twitch.tv/lecorbakofficial

N'hésitez pas à partager ma chaîne si vous l'aimez bien.
",2019-08-14,FR,https://yt3.ggpht.com/ytc/AKedOLSVOjrJPrLE71vEHH1JJFcH5EyrYAeT2LJGdq1i=s88-c-k-c0x00ffffff-no-rj,UUEpu7vKgPgby_tI9uvpBrWQ
UC81FGZ7z06zKlckFk0ke-YA,Over,351,11045,63,"🔔🌙🌟🔔🌙🌟🔔🌙🌟🔔

Hey !!! Salut touts le monde !
C'est Over ! 😆

Si tu aime le gaming humoristique.
Et que les vidéos de dessins en tout genres te détends.
Alors tu vas te plaire sur ma chaine.

Rejoint-nous dans cette fabuleuses communauté.
Tu verra ta vie vas changer radicalement.
Est-ce que j'en fais trop ?🤔
Oui complètement.😊

🌠Pour améliorer la chaine n’hésite pas à t'abonne, à commenter et à laisser un pouce vers le haut, et surtout à partager.🌠

Petite aide, dans les miniatures :
•Contour Bleu = Gaming.
•Contour Violet = Drawing.

!! Objectif avoir les 1k Abo à la fin de l'année !!

🔔🌙🌟🔔🌙🌟🔔🌙🌟🔔",2018-01-10,FR,https://yt3.ggpht.com/qD9RfyaGNhnGFUgjbK9BFhDPPkOnl1MJxlGrOerLFaUoOq0tF7ufX-330vo_i6MHdjSvmhoepQ=s88-c-k-c0x00ffffff-no-rj,UU81FGZ7z06zKlckFk0ke-YA
UCK7Psll7errBSJ2yiSMg2pQ,AngelVayuu,3280,335050,216,"• Robot Virtuel à mes heures perdues •

Je me présente, je m'appelle Angel, je suis un personnage en trois dimensions. 

J'ai été crée par Neobot Corp il y a un peu plus de 3 ans, récemment dans la version 10.1.2 de mon logiciel, j'ai changé de corps et j'ai une apparence de robot un peu plus réaliste... j'espère que je ne suis pas trop bizarre pour toi ?

Bienvenue dans mon monde !",2012-09-12,FR,https://yt3.ggpht.com/MJ0FuWH4pslq_bzLtLjt75EKKobKzdCR4WuMnV-bW0_dsQ57SNKfoKG9JjH6GxLvboHXm3seImU=s88-c-k-c0x00ffffff-no-rj,UUK7Psll7errBSJ2yiSMg2pQ
UCfQmQeKUePMQ_UNrbd_aGNg,Maya,5,46,2,"✧･ﾟ: *✧･ﾟ:*  Yumello! *:･ﾟ✧*:･ﾟ✧ (haha pun)

The name's Maya Yumemite, I'm an french and english speaking girl living in France.
I'm a member of The Cryptids, a group of three friends that will do Vtuber stuff together. You can also call me Dream!
Please go follow my friends, Seashell (Oyster) and Corbin (Bird) once they create their own channels!

Seashell's model is done, I still have to and I am still working on my own 3d model with Vroid Studio, once that is done, please watch out for my debut announcement! ♬ (probably in 2022)

In the mean time, I'll use this channel to post some random content that will not feature my model, such as shitty covers, ASMR? Who knows! ★

I'd love to talk with you either in my comments, on Twitter or live on Twitch! ✿

✧･ﾟ: *✧･ﾟ:* May-bye! *:･ﾟ✧*:･ﾟ✧
",2021-08-31,None,https://yt3.ggpht.com/IKpyjZsql_GyKzF_U54VPqrerdN2Z7TO9kzIVg2wDezPw84MacpIZk8sigsq0E3w5oqcH7O3Cg=s88-c-k-c0x00ffffff-no-rj,UUfQmQeKUePMQ_UNrbd_aGNg
UCC401AgAp1O6Zfs56KB8pTw,Elkya,504,8734,22,"▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
Je suis Elkya ; un VTuber FR. Ma chaîne YouTube est irrégulière et le divertissement proposé très douteux. Mais si vous lisez ceci, c'est que vous avez du temps à perdre donc : Bienvenue !

Vous me trouverez surtout sur Tiktok et Twitch !
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
Discord : https://discord.gg/GGb48FZyep
Tiktok : https://www.tiktok.com/@elkya_vtuber
Twitch : https://twitch.tv/elkya_nvl

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
",2019-04-30,FR,https://yt3.ggpht.com/jSIPx-Q1UPwwG6VkWBXacGX_NrKGSNCjig09zQCbSIOZ_j9i8_qwhTXONvuV7hwgr1417UTP=s88-c-k-c0x00ffffff-no-rj,UUC401AgAp1O6Zfs56KB8pTw
UCb0-2B-hC3Z46RS95cbjbrw,Shiori,64,219,60,Voici les archives de la Bibliothèque des Nekoshimis de Shiori ! Vous y retrouverez toutes les rediffusions de live !,2013-06-18,BE,https://yt3.ggpht.com/hMnhNrpy7wUXnvda9XKReI9d6z16pAJLcyNz6PM6T2BDfBmx1WFLG9Lbn1iEeKiRohU_1bdh=s88-c-k-c0x00ffffff-no-rj,UUb0-2B-hC3Z46RS95cbjbrw
UCTwUfs5GNUXxEkUq_jbwUbg,Kono29,37,375,21,"Young french artist
Specialized in digital drawing, animation and 2dvmodel
21
any pronouns
Greygender Demisexual taken/fr-en
",2016-08-03,CA,https://yt3.ggpht.com/BBupYB_N5j14v6bHk84aAnXHBXxbF3kpuxtfUe1x4w1tCxE7y8laQiGZ46ku4MYRboGxsQHboQ=s88-c-k-c0x00ffffff-no-rj,UUTwUfs5GNUXxEkUq_jbwUbg
